"PMID"	"Title"	"Abstract"	"YearPubmed"	"MonthPubmed"	"DayPubmed"	"Date"	"country"	"afil"	"chloroquine"	"remdesivir"
"1"	32182409	"Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1."	NA	2020	3	18	2020-03-18	"USA"	"Centers for Disease Control and Prevention, Atlanta, GA."	FALSE	FALSE
"2"	32182409	"Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1."	NA	2020	3	18	2020-03-18	"USA"	"National Institute of Allergy and Infectious Diseases, Hamilton, MT vincent.munster@nih.gov."	FALSE	FALSE
"3"	32182409	"Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1."	NA	2020	3	18	2020-03-18	"USA"	"National Institute of Allergy and Infectious Diseases, Hamilton, MT."	FALSE	FALSE
"4"	32182409	"Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1."	NA	2020	3	18	2020-03-18	"USA"	"Princeton University, Princeton, NJ."	FALSE	FALSE
"5"	32182409	"Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1."	NA	2020	3	18	2020-03-18	"USA"	"University of California, Los Angeles, Los Angeles, CA, Bethesda, MD."	FALSE	FALSE
"6"	32182409	"Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1."	NA	2020	3	18	2020-03-18	"USA"	"University of California, Los Angeles, Los Angeles, CA."	FALSE	FALSE
"7"	32182347	"Perinatal Transmission of COVID-19 Associated SARS-CoV-2: Should We Worry?"	"we presented two cases of covid-19 associated sars-cov-2 infection during third trimester of pregnancy. both mothers and newborns had excellent outcomes. we failed to identify sars-cov-2 in all the products of conception and the newborns. this report provided evidence of low risk of intrauterine infection by vertical transmission of sars-cov-2."	2020	3	18	2020-03-18	"China"	"Department of Clinical Laboratory, Renmin Hospital of Wuhan University, Hubei, Wuhan, China."	FALSE	FALSE
"8"	32182347	"Perinatal Transmission of COVID-19 Associated SARS-CoV-2: Should We Worry?"	"we presented two cases of covid-19 associated sars-cov-2 infection during third trimester of pregnancy. both mothers and newborns had excellent outcomes. we failed to identify sars-cov-2 in all the products of conception and the newborns. this report provided evidence of low risk of intrauterine infection by vertical transmission of sars-cov-2."	2020	3	18	2020-03-18	"China"	"Department of Nutrition and Food Hygiene, School of Health Sciences, Wuhan University, China."	FALSE	FALSE
"9"	32182347	"Perinatal Transmission of COVID-19 Associated SARS-CoV-2: Should We Worry?"	"we presented two cases of covid-19 associated sars-cov-2 infection during third trimester of pregnancy. both mothers and newborns had excellent outcomes. we failed to identify sars-cov-2 in all the products of conception and the newborns. this report provided evidence of low risk of intrauterine infection by vertical transmission of sars-cov-2."	2020	3	18	2020-03-18	"China"	"Department of Obstetrics, Renmin Hospital of Wuhan University, Hubei, Wuhan, China."	FALSE	FALSE
"10"	32182347	"Perinatal Transmission of COVID-19 Associated SARS-CoV-2: Should We Worry?"	"we presented two cases of covid-19 associated sars-cov-2 infection during third trimester of pregnancy. both mothers and newborns had excellent outcomes. we failed to identify sars-cov-2 in all the products of conception and the newborns. this report provided evidence of low risk of intrauterine infection by vertical transmission of sars-cov-2."	2020	3	18	2020-03-18	"China"	"Department of Pediatrics, Renmin Hospital of Wuhan University, Hubei, Wuhan, China."	FALSE	FALSE
"11"	32182131	"Impact of Coronavirus Disease 2019 (COVID-19) Outbreak on ST-Segment-Elevation Myocardial Infarction Care in Hong Kong, China."	NA	2020	3	18	2020-03-18	"Hong Kong"	"Cardiology Division, Department of Medicine, Queen Mary Hospital, the University of Hong Kong, Hong Kong SAR, China. (C.-C.F.T., S.L., A.W., A.Y., M.S., Y.-M.L., C.C., H.-F.T., C.-W.S.)."	FALSE	FALSE
"12"	32182131	"Impact of Coronavirus Disease 2019 (COVID-19) Outbreak on ST-Segment-Elevation Myocardial Infarction Care in Hong Kong, China."	NA	2020	3	18	2020-03-18	"Hong Kong"	"Department of Accident and Emergency Department, Queen Mary Hospital, the University of Hong Kong, Hong Kong SAR, China. (K.-S.C., T.-C.T., M.T.)."	FALSE	FALSE
